Time (sec),Usl(m/s),Usg(m/s),Vf,bins,Freq.,PDF,Hl
33.735,0.05,0.047,0.3257,0,0,0,0.6743
33.74,0.05,0.047,0.3016,0,0,0,0.6984
33.745,0.05,0.047,0.2806,0,0,0,0.7194
33.75,0.05,0.047,0.2599,0,0,0,0.7401
33.755,0.05,0.047,0.2382,0,0,0,0.7618
33.76,0.05,0.047,0.2184,0,0,0,0.7816
33.765,0.05,0.047,0.2078,0,0,0,0.7922
33.77,0.05,0.047,0.1967,0,0,0,0.8033
33.775,0.05,0.047,0.1764,0,0,0,0.8236
33.78,0.05,0.047,0.1573,0,0,0,0.8427
33.785,0.05,0.047,0.1432,0,0,0,0.8568
33.79,0.05,0.047,0.1331,0,0,0,0.8669
33.795,0.05,0.047,0.1213,0,0,0,0.8787
33.8,0.05,0.047,0.1146,0,0,0,0.8854
33.805,0.05,0.047,0.1149,0,0,0,0.8851
33.81,0.05,0.047,0.1202,0,0,0,0.8798
33.815,0.05,0.047,0.1257,0,0,0,0.8743
33.82,0.05,0.047,0.1252,0,0,0,0.8748
33.825,0.05,0.047,0.1201,0,0,0,0.8799
33.83,0.05,0.047,0.1155,0,0,0,0.8845
33.835,0.05,0.047,0.1102,0,0,0,0.8898
33.84,0.05,0.047,0.1049,0,0,0,0.8951
33.845,0.05,0.047,0.1015,0,0,0,0.8985
33.85,0.05,0.047,0.1001,0,0,0,0.8999
33.855,0.05,0.047,0.0985,0,0,0,0.9015
33.86,0.05,0.047,0.0967,0,0,0,0.9033
33.865,0.05,0.047,0.0963,0,0,0,0.9037
33.87,0.05,0.047,0.0961,0,0,0,0.9039
33.875,0.05,0.047,0.0953,0,0,0,0.9047
33.88,0.05,0.047,0.0957,0,0,0,0.9043
33.885,0.05,0.047,0.0962,0,0,0,0.9038
33.89,0.05,0.047,0.0955,0,0,0,0.9045
33.895,0.05,0.047,0.0953,0,0,0,0.9047
33.9,0.05,0.047,0.0953,0,0,0,0.9047
33.905,0.05,0.047,0.0948,0,0,0,0.9052
33.91,0.05,0.047,0.0949,0,0,0,0.9051
33.915,0.05,0.047,0.0943,0,0,0,0.9057
33.92,0.05,0.047,0.0953,0,0,0,0.9047
33.925,0.05,0.047,0.0968,0,0,0,0.9032
33.93,0.05,0.047,0.0965,0,0,0,0.9035
33.935,0.05,0.047,0.097,0,0,0,0.903
33.94,0.05,0.047,0.0982,0,0,0,0.9018
33.945,0.05,0.047,0.0983,0,0,0,0.9017
33.95,0.05,0.047,0.0978,0,0,0,0.9022
33.955,0.05,0.047,0.098,0,0,0,0.902
33.96,0.05,0.047,0.0966,0,0,0,0.9034
33.965,0.05,0.047,0.0954,0,0,0,0.9046
33.97,0.05,0.047,0.0951,0,0,0,0.9049
33.975,0.05,0.047,0.0944,0,0,0,0.9056
33.98,0.05,0.047,0.0942,0,0,0,0.9058
33.985,0.05,0.047,0.093,0,0,0,0.907
33.99,0.05,0.047,0.0924,0,0,0,0.9076
33.995,0.05,0.047,0.0901,0,0,0,0.9099
34,0.05,0.047,0.0897,0,0,0,0.9103
34.005,0.05,0.047,0.0893,0,0,0,0.9107
34.01,0.05,0.047,0.0899,0,0,0,0.9101
34.015,0.05,0.047,0.0895,0,0,0,0.9105
34.02,0.05,0.047,0.0898,0,0,0,0.9102
34.025,0.05,0.047,0.0886,0,0,0,0.9114
34.03,0.05,0.047,0.0888,0,0,0,0.9112
34.035,0.05,0.047,0.0867,0,0,0,0.9133
34.04,0.05,0.047,0.0866,0,0,0,0.9134
34.045,0.05,0.047,0.0855,0,0,0,0.9145
34.05,0.05,0.047,0.0861,0,0,0,0.9139
34.055,0.05,0.047,0.0854,0,0,0,0.9146
34.06,0.05,0.047,0.0859,0,0,0,0.9141
34.065,0.05,0.047,0.0857,0,0,0,0.9143
34.07,0.05,0.047,0.0863,0,0,0,0.9137
34.075,0.05,0.047,0.0853,0,0,0,0.9147
34.08,0.05,0.047,0.0842,0,0,0,0.9158
34.085,0.05,0.047,0.0834,0,0,0,0.9166
34.09,0.05,0.047,0.0834,0,0,0,0.9166
34.095,0.05,0.047,0.0817,0,0,0,0.9183
34.1,0.05,0.047,0.0819,0,0,0,0.9181
34.105,0.05,0.047,0.0815,0,0,0,0.9185
34.11,0.05,0.047,0.0814,0,0,0,0.9186
34.115,0.05,0.047,0.0817,0,0,0,0.9183
34.12,0.05,0.047,0.0819,0,0,0,0.9181
34.125,0.05,0.047,0.0819,0,0,0,0.9181
34.13,0.05,0.047,0.0838,0,0,0,0.9162
34.135,0.05,0.047,0.0839,0,0,0,0.9161
34.14,0.05,0.047,0.0845,0,0,0,0.9155
34.145,0.05,0.047,0.0837,0,0,0,0.9163
34.15,0.05,0.047,0.0847,0,0,0,0.9153
34.155,0.05,0.047,0.085,0,0,0,0.915
34.16,0.05,0.047,0.0851,0,0,0,0.9149
34.165,0.05,0.047,0.0852,0,0,0,0.9148
34.17,0.05,0.047,0.0872,0,0,0,0.9128
34.175,0.05,0.047,0.0863,0,0,0,0.9137
34.18,0.05,0.047,0.0881,0,0,0,0.9119
34.185,0.05,0.047,0.0878,0,0,0,0.9122
34.19,0.05,0.047,0.0881,0,0,0,0.9119
34.195,0.05,0.047,0.0875,0,0,0,0.9125
34.2,0.05,0.047,0.0893,0,0,0,0.9107
34.205,0.05,0.047,0.0886,0,0,0,0.9114
34.21,0.05,0.047,0.089,0,0,0,0.911
34.215,0.05,0.047,0.089,0,0,0,0.911
34.22,0.05,0.047,0.0898,0,0,0,0.9102
34.225,0.05,0.047,0.0894,0,0,0,0.9106
34.23,0.05,0.047,0.0898,0,0,0,0.9102
34.235,0.05,0.047,0.0885,0,0,0,0.9115
34.24,0.05,0.047,0.0897,0,0,0,0.9103
34.245,0.05,0.047,0.0895,0,0,0,0.9105
34.25,0.05,0.047,0.09,0,0,0,0.91
34.255,0.05,0.047,0.089,0,0,0,0.911
34.26,0.05,0.047,0.0912,0,0,0,0.9088
34.265,0.05,0.047,0.0906,0,0,0,0.9094
34.27,0.05,0.047,0.0923,0,0,0,0.9077
34.275,0.05,0.047,0.0918,0,0,0,0.9082
34.28,0.05,0.047,0.0923,0,0,0,0.9077
34.285,0.05,0.047,0.093,0,0,0,0.907
34.29,0.05,0.047,0.0938,0,0,0,0.9062
34.295,0.05,0.047,0.0925,0,0,0,0.9075
34.3,0.05,0.047,0.0951,0,0,0,0.9049
34.305,0.05,0.047,0.0942,0,0,0,0.9058
34.31,0.05,0.047,0.0948,0,0,0,0.9052
34.315,0.05,0.047,0.094,0,0,0,0.906
34.32,0.05,0.047,0.096,0,0,0,0.904
34.325,0.05,0.047,0.0944,0,0,0,0.9056
34.33,0.05,0.047,0.0952,0,0,0,0.9048
34.335,0.05,0.047,0.0941,0,0,0,0.9059
34.34,0.05,0.047,0.0953,0,0,0,0.9047
34.345,0.05,0.047,0.0935,0,0,0,0.9065
34.35,0.05,0.047,0.0953,0,0,0,0.9047
34.355,0.05,0.047,0.0935,0,0,0,0.9065
34.36,0.05,0.047,0.0949,0,0,0,0.9051
34.365,0.05,0.047,0.0949,0,0,0,0.9051
34.37,0.05,0.047,0.0969,0,0,0,0.9031
34.375,0.05,0.047,0.0983,0,0,0,0.9017
34.38,0.05,0.047,0.1032,0,0,0,0.8968
34.385,0.05,0.047,0.1085,0,0,0,0.8915
34.39,0.05,0.047,0.1209,0,0,0,0.8791
34.395,0.05,0.047,0.1342,0,0,0,0.8658
34.4,0.05,0.047,0.1547,0,0,0,0.8453
34.405,0.05,0.047,0.1747,0,0,0,0.8253
34.41,0.05,0.047,0.2009,0,0,0,0.7991
34.415,0.05,0.047,0.2258,0,0,0,0.7742
34.42,0.05,0.047,0.2539,0,0,0,0.7461
34.425,0.05,0.047,0.2814,0,0,0,0.7186
34.43,0.05,0.047,0.3097,0,0,0,0.6903
34.435,0.05,0.047,0.3353,0,0,0,0.6647
34.44,0.05,0.047,0.3633,0,0,0,0.6367
34.445,0.05,0.047,0.3851,0,0,0,0.6149
34.45,0.05,0.047,0.4069,0,0,0,0.5931
34.455,0.05,0.047,0.4236,0,0,0,0.5764
34.46,0.05,0.047,0.4409,0,0,0,0.5591
34.465,0.05,0.047,0.4542,0,0,0,0.5458
34.47,0.05,0.047,0.4675,0,0,0,0.5325
34.475,0.05,0.047,0.4748,0,0,0,0.5252
34.48,0.05,0.047,0.481,0,0,0,0.519
34.485,0.05,0.047,0.4792,0,0,0,0.5208
34.49,0.05,0.047,0.473,0,0,0,0.527
34.495,0.05,0.047,0.453,0,0,0,0.547
34.5,0.05,0.047,0.4283,0,0,0,0.5717
34.505,0.05,0.047,0.3966,0,0,0,0.6034
34.51,0.05,0.047,0.3683,0,0,0,0.6317
34.515,0.05,0.047,0.3384,0,0,0,0.6616
34.52,0.05,0.047,0.3105,0,0,0,0.6895
34.525,0.05,0.047,0.2857,0,0,0,0.7143
34.53,0.05,0.047,0.2638,0,0,0,0.7362
34.535,0.05,0.047,0.2419,0,0,0,0.7581
34.54,0.05,0.047,0.2242,0,0,0,0.7758
34.545,0.05,0.047,0.2043,0,0,0,0.7957
34.55,0.05,0.047,0.188,0,0,0,0.812
34.555,0.05,0.047,0.1687,0,0,0,0.8313
34.56,0.05,0.047,0.154,0,0,0,0.846
34.565,0.05,0.047,0.1408,0,0,0,0.8592
34.57,0.05,0.047,0.132,0,0,0,0.868
34.575,0.05,0.047,0.1211,0,0,0,0.8789
34.58,0.05,0.047,0.1126,0,0,0,0.8874
34.585,0.05,0.047,0.1035,0,0,0,0.8965
34.59,0.05,0.047,0.0987,0,0,0,0.9013
34.595,0.05,0.047,0.0918,0,0,0,0.9082
34.6,0.05,0.047,0.0877,0,0,0,0.9123
34.605,0.05,0.047,0.0856,0,0,0,0.9144
34.61,0.05,0.047,0.0854,0,0,0,0.9146
34.615,0.05,0.047,0.0839,0,0,0,0.9161
34.62,0.05,0.047,0.0841,0,0,0,0.9159
34.625,0.05,0.047,0.0832,0,0,0,0.9168
34.63,0.05,0.047,0.0857,0,0,0,0.9143
34.635,0.05,0.047,0.0837,0,0,0,0.9163
34.64,0.05,0.047,0.0848,0,0,0,0.9152
34.645,0.05,0.047,0.0838,0,0,0,0.9162
34.65,0.05,0.047,0.0857,0,0,0,0.9143
34.655,0.05,0.047,0.0833,0,0,0,0.9167
34.66,0.05,0.047,0.0836,0,0,0,0.9164
34.665,0.05,0.047,0.0818,0,0,0,0.9182
34.67,0.05,0.047,0.0821,0,0,0,0.9179
34.675,0.05,0.047,0.0812,0,0,0,0.9188
34.68,0.05,0.047,0.0822,0,0,0,0.9178
34.685,0.05,0.047,0.0817,0,0,0,0.9183
34.69,0.05,0.047,0.0833,0,0,0,0.9167
34.695,0.05,0.047,0.0836,0,0,0,0.9164
34.7,0.05,0.047,0.0859,0,0,0,0.9141
34.705,0.05,0.047,0.0854,0,0,0,0.9146
34.71,0.05,0.047,0.0871,0,0,0,0.9129
34.715,0.05,0.047,0.0855,0,0,0,0.9145
34.72,0.05,0.047,0.0878,0,0,0,0.9122
34.725,0.05,0.047,0.0852,0,0,0,0.9148
34.73,0.05,0.047,0.0867,0,0,0,0.9133
34.735,0.05,0.047,0.0848,0,0,0,0.9152
34.74,0.05,0.047,0.0864,0,0,0,0.9136
34.745,0.05,0.047,0.0843,0,0,0,0.9157
34.75,0.05,0.047,0.0862,0,0,0,0.9138
34.755,0.05,0.047,0.0842,0,0,0,0.9158
34.76,0.05,0.047,0.0854,0,0,0,0.9146
34.765,0.05,0.047,0.0842,0,0,0,0.9158
34.77,0.05,0.047,0.0861,0,0,0,0.9139
34.775,0.05,0.047,0.0852,0,0,0,0.9148
34.78,0.05,0.047,0.0866,0,0,0,0.9134
34.785,0.05,0.047,0.0864,0,0,0,0.9136
34.79,0.05,0.047,0.088,0,0,0,0.912
34.795,0.05,0.047,0.0869,0,0,0,0.9131
34.8,0.05,0.047,0.0881,0,0,0,0.9119
34.805,0.05,0.047,0.0875,0,0,0,0.9125
34.81,0.05,0.047,0.0899,0,0,0,0.9101
34.815,0.05,0.047,0.0886,0,0,0,0.9114
34.82,0.05,0.047,0.0902,0,0,0,0.9098
34.825,0.05,0.047,0.0885,0,0,0,0.9115
34.83,0.05,0.047,0.0908,0,0,0,0.9092
34.835,0.05,0.047,0.0901,0,0,0,0.9099
34.84,0.05,0.047,0.0911,0,0,0,0.9089
34.845,0.05,0.047,0.0907,0,0,0,0.9093
34.85,0.05,0.047,0.0931,0,0,0,0.9069
34.855,0.05,0.047,0.0913,0,0,0,0.9087
34.86,0.05,0.047,0.0942,0,0,0,0.9058
34.865,0.05,0.047,0.0945,0,0,0,0.9055
34.87,0.05,0.047,0.0974,0,0,0,0.9026
34.875,0.05,0.047,0.0971,0,0,0,0.9029
34.88,0.05,0.047,0.1015,0,0,0,0.8985
34.885,0.05,0.047,0.1018,0,0,0,0.8982
34.89,0.05,0.047,0.1052,0,0,0,0.8948
34.895,0.05,0.047,0.1053,0,0,0,0.8947
34.9,0.05,0.047,0.1084,0,0,0,0.8916
34.905,0.05,0.047,0.109,0,0,0,0.891
34.91,0.05,0.047,0.1127,0,0,0,0.8873
34.915,0.05,0.047,0.1137,0,0,0,0.8863
34.92,0.05,0.047,0.1174,0,0,0,0.8826
34.925,0.05,0.047,0.1196,0,0,0,0.8804
34.93,0.05,0.047,0.1239,0,0,0,0.8761
34.935,0.05,0.047,0.1255,0,0,0,0.8745
34.94,0.05,0.047,0.13,0,0,0,0.87
34.945,0.05,0.047,0.1304,0,0,0,0.8696
34.95,0.05,0.047,0.1339,0,0,0,0.8661
34.955,0.05,0.047,0.1321,0,0,0,0.8679
34.96,0.05,0.047,0.1298,0,0,0,0.8702
34.965,0.05,0.047,0.124,0,0,0,0.876
34.97,0.05,0.047,0.1199,0,0,0,0.8801
34.975,0.05,0.047,0.113,0,0,0,0.887
34.98,0.05,0.047,0.1083,0,0,0,0.8917
34.985,0.05,0.047,0.1025,0,0,0,0.8975
34.99,0.05,0.047,0.1001,0,0,0,0.8999
34.995,0.05,0.047,0.0954,0,0,0,0.9046
35,0.05,0.047,0.0939,0,0,0,0.9061
35.005,0.05,0.047,0.0912,0,0,0,0.9088
35.01,0.05,0.047,0.0934,0,0,0,0.9066
35.015,0.05,0.047,0.0918,0,0,0,0.9082
35.02,0.05,0.047,0.0936,0,0,0,0.9064
35.025,0.05,0.047,0.0935,0,0,0,0.9065
35.03,0.05,0.047,0.0968,0,0,0,0.9032
35.035,0.05,0.047,0.0981,0,0,0,0.9019
35.04,0.05,0.047,0.1023,0,0,0,0.8977
35.045,0.05,0.047,0.1029,0,0,0,0.8971
35.05,0.05,0.047,0.1091,0,0,0,0.8909
35.055,0.05,0.047,0.1122,0,0,0,0.8878
35.06,0.05,0.047,0.119,0,0,0,0.881
35.065,0.05,0.047,0.1233,0,0,0,0.8767
35.07,0.05,0.047,0.132,0,0,0,0.868
35.075,0.05,0.047,0.1392,0,0,0,0.8608
35.08,0.05,0.047,0.1511,0,0,0,0.8489
35.085,0.05,0.047,0.1602,0,0,0,0.8398
35.09,0.05,0.047,0.1742,0,0,0,0.8258
35.095,0.05,0.047,0.1859,0,0,0,0.8141
35.1,0.05,0.047,0.2038,0,0,0,0.7962
35.105,0.05,0.047,0.2183,0,0,0,0.7817
35.11,0.05,0.047,0.238,0,0,0,0.762
35.115,0.05,0.047,0.2545,0,0,0,0.7455
35.12,0.05,0.047,0.2759,0,0,0,0.7241
35.125,0.05,0.047,0.2921,0,0,0,0.7079
35.13,0.05,0.047,0.3129,0,0,0,0.6871
35.135,0.05,0.047,0.3304,0,0,0,0.6696
35.14,0.05,0.047,0.3482,0,0,0,0.6518
35.145,0.05,0.047,0.3615,0,0,0,0.6385
35.15,0.05,0.047,0.374,0,0,0,0.626
35.155,0.05,0.047,0.3809,0,0,0,0.6191
35.16,0.05,0.047,0.3857,0,0,0,0.6143
35.165,0.05,0.047,0.3828,0,0,0,0.6172
35.17,0.05,0.047,0.3773,0,0,0,0.6227
35.175,0.05,0.047,0.3667,0,0,0,0.6333
35.18,0.05,0.047,0.3557,0,0,0,0.6443
35.185,0.05,0.047,0.3361,0,0,0,0.6639
35.19,0.05,0.047,0.3163,0,0,0,0.6837
35.195,0.05,0.047,0.2916,0,0,0,0.7084
35.2,0.05,0.047,0.2639,0,0,0,0.7361
35.205,0.05,0.047,0.2359,0,0,0,0.7641
35.21,0.05,0.047,0.2124,0,0,0,0.7876
35.215,0.05,0.047,0.1841,0,0,0,0.8159
35.22,0.05,0.047,0.1595,0,0,0,0.8405
35.225,0.05,0.047,0.1357,0,0,0,0.8643
35.23,0.05,0.047,0.1197,0,0,0,0.8803
35.235,0.05,0.047,0.1041,0,0,0,0.8959
35.24,0.05,0.047,0.0961,0,0,0,0.9039
35.245,0.05,0.047,0.0906,0,0,0,0.9094
35.25,0.05,0.047,0.0901,0,0,0,0.9099
35.255,0.05,0.047,0.0882,0,0,0,0.9118
35.26,0.05,0.047,0.0891,0,0,0,0.9109
35.265,0.05,0.047,0.088,0,0,0,0.912
35.27,0.05,0.047,0.0915,0,0,0,0.9085
35.275,0.05,0.047,0.0924,0,0,0,0.9076
35.28,0.05,0.047,0.0957,0,0,0,0.9043
35.285,0.05,0.047,0.0957,0,0,0,0.9043
35.29,0.05,0.047,0.0986,0,0,0,0.9014
35.295,0.05,0.047,0.0998,0,0,0,0.9002
35.3,0.05,0.047,0.1027,0,0,0,0.8973
35.305,0.05,0.047,0.1018,0,0,0,0.8982
35.31,0.05,0.047,0.1039,0,0,0,0.8961
35.315,0.05,0.047,0.1037,0,0,0,0.8963
35.32,0.05,0.047,0.1055,0,0,0,0.8945
35.325,0.05,0.047,0.1044,0,0,0,0.8956
35.33,0.05,0.047,0.1067,0,0,0,0.8933
35.335,0.05,0.047,0.1064,0,0,0,0.8936
35.34,0.05,0.047,0.1074,0,0,0,0.8926
35.345,0.05,0.047,0.108,0,0,0,0.892
35.35,0.05,0.047,0.1097,0,0,0,0.8903
35.355,0.05,0.047,0.1074,0,0,0,0.8926
35.36,0.05,0.047,0.1091,0,0,0,0.8909
35.365,0.05,0.047,0.1062,0,0,0,0.8938
35.37,0.05,0.047,0.1064,0,0,0,0.8936
35.375,0.05,0.047,0.1044,0,0,0,0.8956
35.38,0.05,0.047,0.104,0,0,0,0.896
35.385,0.05,0.047,0.1016,0,0,0,0.8984
35.39,0.05,0.047,0.1033,0,0,0,0.8967
35.395,0.05,0.047,0.1013,0,0,0,0.8987
35.4,0.05,0.047,0.1019,0,0,0,0.8981
35.405,0.05,0.047,0.0998,0,0,0,0.9002
35.41,0.05,0.047,0.1017,0,0,0,0.8983
35.415,0.05,0.047,0.0995,0,0,0,0.9005
35.42,0.05,0.047,0.1014,0,0,0,0.8986
35.425,0.05,0.047,0.0995,0,0,0,0.9005
35.43,0.05,0.047,0.1005,0,0,0,0.8995
35.435,0.05,0.047,0.0997,0,0,0,0.9003
35.44,0.05,0.047,0.1012,0,0,0,0.8988
35.445,0.05,0.047,0.0987,0,0,0,0.9013
35.45,0.05,0.047,0.1003,0,0,0,0.8997
35.455,0.05,0.047,0.0985,0,0,0,0.9015
35.46,0.05,0.047,0.099,0,0,0,0.901
35.465,0.05,0.047,0.0977,0,0,0,0.9023
35.47,0.05,0.047,0.0982,0,0,0,0.9018
35.475,0.05,0.047,0.0964,0,0,0,0.9036
35.48,0.05,0.047,0.0972,0,0,0,0.9028
35.485,0.05,0.047,0.0954,0,0,0,0.9046
35.49,0.05,0.047,0.0959,0,0,0,0.9041
35.495,0.05,0.047,0.0949,0,0,0,0.9051
35.5,0.05,0.047,0.0953,0,0,0,0.9047
35.505,0.05,0.047,0.094,0,0,0,0.906
35.51,0.05,0.047,0.0967,0,0,0,0.9033
35.515,0.05,0.047,0.0968,0,0,0,0.9032
35.52,0.05,0.047,0.098,0,0,0,0.902
35.525,0.05,0.047,0.0986,0,0,0,0.9014
35.53,0.05,0.047,0.1004,0,0,0,0.8996
35.535,0.05,0.047,0.0999,0,0,0,0.9001
35.54,0.05,0.047,0.1021,0,0,0,0.8979
35.545,0.05,0.047,0.1012,0,0,0,0.8988
35.55,0.05,0.047,0.1034,0,0,0,0.8966
35.555,0.05,0.047,0.1036,0,0,0,0.8964
35.56,0.05,0.047,0.1043,0,0,0,0.8957
35.565,0.05,0.047,0.1034,0,0,0,0.8966
35.57,0.05,0.047,0.1055,0,0,0,0.8945
35.575,0.05,0.047,0.1053,0,0,0,0.8947
35.58,0.05,0.047,0.1066,0,0,0,0.8934
35.585,0.05,0.047,0.1055,0,0,0,0.8945
35.59,0.05,0.047,0.1075,0,0,0,0.8925
35.595,0.05,0.047,0.1057,0,0,0,0.8943
35.6,0.05,0.047,0.1077,0,0,0,0.8923
35.605,0.05,0.047,0.1058,0,0,0,0.8942
35.61,0.05,0.047,0.1065,0,0,0,0.8935
35.615,0.05,0.047,0.107,0,0,0,0.893
35.62,0.05,0.047,0.1077,0,0,0,0.8923
35.625,0.05,0.047,0.1066,0,0,0,0.8934
35.63,0.05,0.047,0.1086,0,0,0,0.8914
35.635,0.05,0.047,0.1069,0,0,0,0.8931
35.64,0.05,0.047,0.108,0,0,0,0.892
35.645,0.05,0.047,0.1079,0,0,0,0.8921
35.65,0.05,0.047,0.1091,0,0,0,0.8909
35.655,0.05,0.047,0.108,0,0,0,0.892
35.66,0.05,0.047,0.1101,0,0,0,0.8899
35.665,0.05,0.047,0.1092,0,0,0,0.8908
35.67,0.05,0.047,0.109,0,0,0,0.891
35.675,0.05,0.047,0.1085,0,0,0,0.8915
35.68,0.05,0.047,0.1091,0,0,0,0.8909
35.685,0.05,0.047,0.1067,0,0,0,0.8933
35.69,0.05,0.047,0.1089,0,0,0,0.8911
35.695,0.05,0.047,0.1081,0,0,0,0.8919
35.7,0.05,0.047,0.1101,0,0,0,0.8899
35.705,0.05,0.047,0.1101,0,0,0,0.8899
35.71,0.05,0.047,0.1126,0,0,0,0.8874
35.715,0.05,0.047,0.1147,0,0,0,0.8853
35.72,0.05,0.047,0.122,0,0,0,0.878
35.725,0.05,0.047,0.1268,0,0,0,0.8732
35.73,0.05,0.047,0.1365,0,0,0,0.8635
35.735,0.05,0.047,0.1456,0,0,0,0.8544
35.74,0.05,0.047,0.1609,0,0,0,0.8391
35.745,0.05,0.047,0.1762,0,0,0,0.8238
35.75,0.05,0.047,0.1965,0,0,0,0.8035
35.755,0.05,0.047,0.2169,0,0,0,0.7831
35.76,0.05,0.047,0.2437,0,0,0,0.7563
35.765,0.05,0.047,0.2663,0,0,0,0.7337
35.77,0.05,0.047,0.2923,0,0,0,0.7077
35.775,0.05,0.047,0.3146,0,0,0,0.6854
35.78,0.05,0.047,0.3414,0,0,0,0.6586
35.785,0.05,0.047,0.3662,0,0,0,0.6338
35.79,0.05,0.047,0.3922,0,0,0,0.6078
35.795,0.05,0.047,0.4179,0,0,0,0.5821
35.8,0.05,0.047,0.4472,0,0,0,0.5528
35.805,0.05,0.047,0.4701,0,0,0,0.5299
35.81,0.05,0.047,0.4927,0,0,0,0.5073
35.815,0.05,0.047,0.5102,0,0,0,0.4898
35.82,0.05,0.047,0.526,0,0,0,0.474
35.825,0.05,0.047,0.5365,0,0,0,0.4635
35.83,0.05,0.047,0.5439,0,0,0,0.4561
35.835,0.05,0.047,0.5462,0,0,0,0.4538
35.84,0.05,0.047,0.5491,0,0,0,0.4509
35.845,0.05,0.047,0.548,0,0,0,0.452
35.85,0.05,0.047,0.5483,0,0,0,0.4517
35.855,0.05,0.047,0.5457,0,0,0,0.4543
35.86,0.05,0.047,0.5431,0,0,0,0.4569
35.865,0.05,0.047,0.5377,0,0,0,0.4623
35.87,0.05,0.047,0.531,0,0,0,0.469
35.875,0.05,0.047,0.5218,0,0,0,0.4782
35.88,0.05,0.047,0.5097,0,0,0,0.4903
35.885,0.05,0.047,0.4954,0,0,0,0.5046
35.89,0.05,0.047,0.4785,0,0,0,0.5215
35.895,0.05,0.047,0.4602,0,0,0,0.5398
35.9,0.05,0.047,0.4407,0,0,0,0.5593
35.905,0.05,0.047,0.4179,0,0,0,0.5821
35.91,0.05,0.047,0.3957,0,0,0,0.6043
35.915,0.05,0.047,0.3694,0,0,0,0.6306
35.92,0.05,0.047,0.3426,0,0,0,0.6574
35.925,0.05,0.047,0.3156,0,0,0,0.6844
35.93,0.05,0.047,0.2919,0,0,0,0.7081
35.935,0.05,0.047,0.2643,0,0,0,0.7357
35.94,0.05,0.047,0.2378,0,0,0,0.7622
35.945,0.05,0.047,0.2137,0,0,0,0.7863
35.95,0.05,0.047,0.1973,0,0,0,0.8027
35.955,0.05,0.047,0.1858,0,0,0,0.8142
35.96,0.05,0.047,0.1781,0,0,0,0.8219
35.965,0.05,0.047,0.171,0,0,0,0.829
35.97,0.05,0.047,0.1662,0,0,0,0.8338
35.975,0.05,0.047,0.1624,0,0,0,0.8376
35.98,0.05,0.047,0.1616,0,0,0,0.8384
35.985,0.05,0.047,0.1587,0,0,0,0.8413
35.99,0.05,0.047,0.1597,0,0,0,0.8403
35.995,0.05,0.047,0.1575,0,0,0,0.8425
36,0.05,0.047,0.1558,0,0,0,0.8442
36.005,0.05,0.047,0.1523,0,0,0,0.8477
36.01,0.05,0.047,0.1504,0,0,0,0.8496
36.015,0.05,0.047,0.1463,0,0,0,0.8537
36.02,0.05,0.047,0.1427,0,0,0,0.8573
36.025,0.05,0.047,0.1375,0,0,0,0.8625
36.03,0.05,0.047,0.1333,0,0,0,0.8667
36.035,0.05,0.047,0.1291,0,0,0,0.8709
36.04,0.05,0.047,0.1256,0,0,0,0.8744
36.045,0.05,0.047,0.1208,0,0,0,0.8792
36.05,0.05,0.047,0.1169,0,0,0,0.8831
36.055,0.05,0.047,0.1125,0,0,0,0.8875
36.06,0.05,0.047,0.1106,0,0,0,0.8894
36.065,0.05,0.047,0.1075,0,0,0,0.8925
36.07,0.05,0.047,0.1043,0,0,0,0.8957
36.075,0.05,0.047,0.101,0,0,0,0.899
36.08,0.05,0.047,0.0987,0,0,0,0.9013
36.085,0.05,0.047,0.0963,0,0,0,0.9037
36.09,0.05,0.047,0.0956,0,0,0,0.9044
36.095,0.05,0.047,0.0932,0,0,0,0.9068
36.1,0.05,0.047,0.093,0,0,0,0.907
36.105,0.05,0.047,0.0914,0,0,0,0.9086
36.11,0.05,0.047,0.0911,0,0,0,0.9089
36.115,0.05,0.047,0.0897,0,0,0,0.9103
36.12,0.05,0.047,0.0892,0,0,0,0.9108
36.125,0.05,0.047,0.0881,0,0,0,0.9119
36.13,0.05,0.047,0.0882,0,0,0,0.9118
36.135,0.05,0.047,0.0874,0,0,0,0.9126
36.14,0.05,0.047,0.087,0,0,0,0.913
36.145,0.05,0.047,0.0873,0,0,0,0.9127
36.15,0.05,0.047,0.0885,0,0,0,0.9115
36.155,0.05,0.047,0.0885,0,0,0,0.9115
36.16,0.05,0.047,0.089,0,0,0,0.911
36.165,0.05,0.047,0.0899,0,0,0,0.9101
36.17,0.05,0.047,0.0906,0,0,0,0.9094
36.175,0.05,0.047,0.0918,0,0,0,0.9082
36.18,0.05,0.047,0.0931,0,0,0,0.9069
36.185,0.05,0.047,0.0939,0,0,0,0.9061
36.19,0.05,0.047,0.0944,0,0,0,0.9056
36.195,0.05,0.047,0.0952,0,0,0,0.9048
36.2,0.05,0.047,0.0963,0,0,0,0.9037
36.205,0.05,0.047,0.0963,0,0,0,0.9037
36.21,0.05,0.047,0.098,0,0,0,0.902
36.215,0.05,0.047,0.0989,0,0,0,0.9011
36.22,0.05,0.047,0.1009,0,0,0,0.8991
36.225,0.05,0.047,0.1018,0,0,0,0.8982
36.23,0.05,0.047,0.1022,0,0,0,0.8978
36.235,0.05,0.047,0.1021,0,0,0,0.8979
36.24,0.05,0.047,0.101,0,0,0,0.899
